Categoria	Motiu	Exemple
Vocatiu		Per molts anys, Joan.
Vocatiu		Això no és veritat, estimada.
Vocatiu		No volem fer classe, professor.
Vocatiu		Felicitacions, amic. 
Vocatiu		Espera la sentència, home.
Vocatiu		No els pots demanar massa cosa, pobrets.
Vocatiu		Per molts anys amic. Felicitats amic. Felicitats Joan.
		
Incisos		Les comes, sempre segons les regles gramaticals, emmarquen una estructura prescindible.
Incisos		Barcelona, capital mundial del turisme científic, tornarà a ser la protagonista.
		
"Davant ""però"" i equivalents"		Això està bé, però aquella altra solució encara és millor.
"Davant ""però"" i equivalents"	Excepció si és curta	No és difícil sinó fàcil. 
Enumeració		Espero que l'explicació sigui clara, útil i interessant.
Enumeració		Tinc quatre colors: verd, vermell, blau i groc.
		
Davant d'etc.		El primer, el segon, el tercer, etc.
		
Interjeccions		Uf, això és complicat.
Interjeccions		Ai mare!
		
Elisió verbal		Això vol dir una cosa; allò, una altra.
		
Oracions distributives (en català?)		Per a aquest cas, bé aprenem les conjuncions de memòria, bé les deduïm en cada cas.
		
CC al principi, invertit		En aquesta hora de feina intensa, pensem en la teoria de les comes.
CC al principi, invertit	excepció si el CC és curt	En aquest moment no es pot fer. 
		
Subordinada adverbial abans de la principal		Quan passa una cosa d'aquest estil tan especial, hem de separar la frase amb una coma.
		
Falses condicionals: no	excepció	Si poses una coma ací és que no ho has entès bé.
		
Marcadors discursius		En primer lloc, cal parlar de les causes del problema.
		
Ambigüitats		He fet la feina com em vas demanar. He fet la feina, com em vas demanar.
		
"Davant de ""i"" (només en alguns casos)"		He sopat, he fet la feina que resta, i he mirat la tele.
		
Comiats		T'estimo molt,
Comiats		Joanet
		
Sobrenoms, pseudònims		Joan Garcia, els Carros.
		
Adverbis		Afortunadament, això no és gens difícil de fer.
		
Subjecte/predicat: no	No coma	Això que escric ací, és un exemple del que no s'ha de fer.
		
Dates		Barcelona, 3 de febrer del 2022
